Date,Open,High,Low,Close,Adj Close,Volume
1/22/18,180.800003,185.389999,180.410004,185.369995,185.369995,21059500
1/23/18,186.050003,189.550003,185.550003,189.350006,189.350006,25678800
1/24/18,189.889999,190.660004,186.520004,186.550003,186.550003,24334500
1/25/18,187.949997,188.619995,186.600006,187.479996,187.479996,17377700
1/26/18,187.75,190,186.809998,190,190,17759200
1/29/18,188.75,188.839996,185.630005,185.979996,185.979996,20453200
1/30/18,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
1/31/18,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
2/1/18,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
2/2/18,192.039993,194.210007,189.979996,190.279999,190.279999,26677500
2/5/18,186.929993,190.610001,180.610001,181.259995,181.259995,33128200
2/6/18,178.570007,185.770004,177.740005,185.309998,185.309998,37758500
2/7/18,184.149994,185.080002,179.949997,180.179993,180.179993,27601900
2/8/18,181.009995,181.839996,171.479996,171.580002,171.580002,38478300
2/9/18,174.759995,176.899994,167.179993,176.110001,176.110001,39887600
2/12/18,177.059998,177.550003,171.839996,176.410004,176.410004,32092100
2/13/18,175.619995,175.970001,173.100006,173.149994,173.149994,21809400
2/14/18,173.449997,179.809998,173.210007,179.520004,179.520004,28929700
2/15/18,180.5,180.5,176.839996,179.960007,179.960007,20922100
2/16/18,178.990005,179.880005,176.300003,177.360001,177.360001,20645300